,age,height,weight,duration,heart_rate,body_temp,calorie,female,male,Height_meters,calculated_IMC
0,68,190.0,94.0,29.0,105.0,40.8,231.0,0,1,1.9,26.038781163434905
1,20,166.0,60.0,14.0,94.0,40.3,66.0,1,0,1.66,21.773842357381334
2,69,179.0,79.0,5.0,88.0,38.7,26.0,0,1,1.79,24.65590961580475
3,34,179.0,71.0,13.0,100.0,40.5,71.0,1,0,1.79,22.15910864205237
4,27,154.0,58.0,10.0,81.0,39.8,35.0,1,0,1.54,24.456063417102378
5,36,151.0,50.0,23.0,96.0,40.7,123.0,1,0,1.51,21.928862769176792
6,33,158.0,56.0,22.0,95.0,40.5,112.0,1,0,1.58,22.432302515622492
7,41,175.0,85.0,25.0,100.0,40.7,143.0,0,1,1.75,27.755102040816325
8,60,186.0,94.0,21.0,97.0,40.4,134.0,0,1,1.86,27.170771187420506
9,26,146.0,51.0,16.0,90.0,40.2,72.0,1,0,1.46,23.925689622818542
10,36,177.0,76.0,1.0,74.0,37.8,3.0,1,0,1.77,24.258674071946118
11,21,157.0,56.0,17.0,100.0,40.0,92.0,1,0,1.57,22.7189744005842
12,66,171.0,79.0,11.0,90.0,40.0,58.0,0,1,1.71,27.01685988851271
13,32,157.0,54.0,18.0,93.0,40.4,88.0,1,0,1.57,21.907582457706194
14,53,182.0,85.0,2.0,82.0,38.1,7.0,0,1,1.82,25.661152034778407
15,39,156.0,62.0,28.0,104.0,40.8,170.0,1,0,1.56,25.476660092044707
16,39,182.0,82.0,4.0,82.0,38.6,11.0,0,1,1.82,24.755464315903875
17,46,169.0,67.0,11.0,89.0,40.2,43.0,0,1,1.69,23.458562375266975
18,27,171.0,65.0,4.0,85.0,38.6,15.0,1,0,1.71,22.229061933586404
19,50,188.0,86.0,14.0,94.0,40.2,74.0,0,1,1.88,24.332277048438208
20,67,189.0,93.0,8.0,77.0,39.2,29.0,0,1,1.89,26.035105400184765
21,31,148.0,50.0,8.0,84.0,39.5,32.0,1,0,1.48,22.826880934989045
22,33,157.0,60.0,3.0,80.0,38.7,10.0,1,0,1.57,24.341758286340216
23,20,165.0,59.0,29.0,100.0,41.0,155.0,1,0,1.65,21.6712580348944
24,48,182.0,85.0,1.0,80.0,37.7,3.0,0,1,1.82,25.661152034778407
25,29,176.0,75.0,10.0,83.0,39.7,24.0,0,1,1.76,24.212293388429753
26,33,173.0,73.0,7.0,78.0,39.3,12.0,0,1,1.73,24.3910588392529
27,42,190.0,88.0,3.0,83.0,38.9,10.0,0,1,1.9,24.37673130193906
28,62,159.0,59.0,29.0,106.0,41.2,195.0,1,0,1.59,23.337684427040067
29,38,171.0,75.0,2.0,81.0,38.2,5.0,0,1,1.71,25.64891761567662
30,20,183.0,88.0,16.0,97.0,40.5,69.0,0,1,1.83,26.27728507868255
31,25,160.0,59.0,24.0,102.0,40.3,136.0,1,0,1.6,23.046874999999996
32,24,165.0,59.0,18.0,91.0,40.2,80.0,1,0,1.65,21.6712580348944
33,42,165.0,68.0,22.0,93.0,40.8,107.0,1,0,1.65,24.977043158861342
34,22,182.0,84.0,29.0,114.0,41.0,200.0,0,1,1.82,25.359256128486894
35,74,158.0,59.0,10.0,93.0,39.6,56.0,1,0,1.58,23.634033007530842
36,70,154.0,59.0,10.0,88.0,40.0,50.0,1,0,1.54,24.87771968291449
37,26,182.0,80.0,21.0,96.0,40.5,100.0,1,0,1.82,24.151672503320853
38,44,184.0,86.0,25.0,114.0,40.8,200.0,0,1,1.84,25.401701323251416
39,61,183.0,86.0,1.0,81.0,38.3,4.0,0,1,1.83,25.680074054167036
40,68,157.0,57.0,13.0,92.0,40.1,70.0,1,0,1.57,23.124670372023203
41,61,176.0,70.0,20.0,104.0,40.5,127.0,1,0,1.76,22.59814049586777
42,63,179.0,80.0,25.0,108.0,40.8,197.0,0,1,1.79,24.968009737523797
43,54,171.0,66.0,20.0,98.0,40.1,113.0,1,0,1.71,22.571047501795427
44,54,169.0,66.0,3.0,80.0,38.9,11.0,1,0,1.69,23.1084345786212
45,47,155.0,55.0,16.0,93.0,40.5,82.0,1,0,1.55,22.892819979188342
46,33,184.0,86.0,8.0,86.0,39.9,26.0,0,1,1.84,25.401701323251416
47,24,171.0,66.0,24.0,105.0,40.6,141.0,1,0,1.71,22.571047501795427
48,24,195.0,98.0,20.0,96.0,40.6,92.0,0,1,1.95,25.77251808021039
49,48,152.0,59.0,2.0,79.0,38.0,5.0,0,1,1.52,25.536703601108034
50,35,193.0,93.0,10.0,83.0,39.7,30.0,0,1,1.93,24.967113211092915
51,21,168.0,71.0,3.0,78.0,38.5,3.0,0,1,1.68,25.15589569160998
52,21,179.0,73.0,9.0,90.0,39.6,37.0,1,0,1.79,22.783308885490467
53,22,158.0,62.0,25.0,105.0,40.6,147.0,1,0,1.58,24.83576349943919
54,69,174.0,69.0,2.0,80.0,38.1,8.0,1,0,1.74,22.79032897344431
55,53,191.0,101.0,21.0,106.0,40.7,159.0,0,1,1.91,27.685644582111237
56,68,155.0,58.0,15.0,100.0,40.3,93.0,1,0,1.55,24.141519250780433
