,height,weight,duration,calorie,Height_meters,calculated_IMC
0,190.0,94.0,29.0,231.0,1.9,26.038781163434905
1,166.0,60.0,14.0,66.0,1.66,21.773842357381334
2,179.0,79.0,5.0,26.0,1.79,24.65590961580475
3,179.0,71.0,13.0,71.0,1.79,22.15910864205237
4,154.0,58.0,10.0,35.0,1.54,24.456063417102378
5,151.0,50.0,23.0,123.0,1.51,21.928862769176792
6,158.0,56.0,22.0,112.0,1.58,22.432302515622492
7,175.0,85.0,25.0,143.0,1.75,27.755102040816325
8,186.0,94.0,21.0,134.0,1.86,27.170771187420506
9,146.0,51.0,16.0,72.0,1.46,23.925689622818542
10,177.0,76.0,1.0,3.0,1.77,24.258674071946118
11,157.0,56.0,17.0,92.0,1.57,22.7189744005842
12,171.0,79.0,11.0,58.0,1.71,27.01685988851271
13,157.0,54.0,18.0,88.0,1.57,21.907582457706194
14,182.0,85.0,2.0,7.0,1.82,25.661152034778407
15,156.0,62.0,28.0,170.0,1.56,25.476660092044707
16,182.0,82.0,4.0,11.0,1.82,24.755464315903875
17,169.0,67.0,11.0,43.0,1.69,23.458562375266975
18,171.0,65.0,4.0,15.0,1.71,22.229061933586404
19,188.0,86.0,14.0,74.0,1.88,24.332277048438208
20,189.0,93.0,8.0,29.0,1.89,26.035105400184765
21,148.0,50.0,8.0,32.0,1.48,22.826880934989045
22,157.0,60.0,3.0,10.0,1.57,24.341758286340216
23,165.0,59.0,29.0,155.0,1.65,21.6712580348944
24,182.0,85.0,1.0,3.0,1.82,25.661152034778407
25,176.0,75.0,10.0,24.0,1.76,24.212293388429753
26,173.0,73.0,7.0,12.0,1.73,24.3910588392529
27,190.0,88.0,3.0,10.0,1.9,24.37673130193906
28,159.0,59.0,29.0,195.0,1.59,23.337684427040067
29,171.0,75.0,2.0,5.0,1.71,25.64891761567662
30,183.0,88.0,16.0,69.0,1.83,26.27728507868255
31,160.0,59.0,24.0,136.0,1.6,23.046874999999996
32,165.0,59.0,18.0,80.0,1.65,21.6712580348944
33,165.0,68.0,22.0,107.0,1.65,24.977043158861342
34,182.0,84.0,29.0,200.0,1.82,25.359256128486894
35,158.0,59.0,10.0,56.0,1.58,23.634033007530842
36,154.0,59.0,10.0,50.0,1.54,24.87771968291449
37,182.0,80.0,21.0,100.0,1.82,24.151672503320853
38,184.0,86.0,25.0,200.0,1.84,25.401701323251416
39,183.0,86.0,1.0,4.0,1.83,25.680074054167036
40,157.0,57.0,13.0,70.0,1.57,23.124670372023203
41,176.0,70.0,20.0,127.0,1.76,22.59814049586777
42,179.0,80.0,25.0,197.0,1.79,24.968009737523797
43,171.0,66.0,20.0,113.0,1.71,22.571047501795427
44,169.0,66.0,3.0,11.0,1.69,23.1084345786212
45,155.0,55.0,16.0,82.0,1.55,22.892819979188342
46,184.0,86.0,8.0,26.0,1.84,25.401701323251416
47,171.0,66.0,24.0,141.0,1.71,22.571047501795427
48,195.0,98.0,20.0,92.0,1.95,25.77251808021039
49,152.0,59.0,2.0,5.0,1.52,25.536703601108034
50,193.0,93.0,10.0,30.0,1.93,24.967113211092915
51,168.0,71.0,3.0,3.0,1.68,25.15589569160998
52,179.0,73.0,9.0,37.0,1.79,22.783308885490467
53,158.0,62.0,25.0,147.0,1.58,24.83576349943919
54,174.0,69.0,2.0,8.0,1.74,22.79032897344431
55,191.0,101.0,21.0,159.0,1.91,27.685644582111237
56,155.0,58.0,15.0,93.0,1.55,24.141519250780433
57,164.0,65.0,23.0,173.0,1.64,24.167162403331353
58,198.0,101.0,19.0,89.0,1.98,25.762677277828793
59,188.0,89.0,7.0,31.0,1.88,25.18107741059303
60,170.0,64.0,9.0,35.0,1.7,22.145328719723185
61,177.0,80.0,16.0,94.0,1.77,25.53544639152223
62,167.0,63.0,9.0,49.0,1.67,22.589551436050055
63,185.0,77.0,13.0,54.0,1.85,22.498173849525198
64,151.0,56.0,20.0,117.0,1.51,24.560326301478007
65,175.0,79.0,27.0,173.0,1.75,25.79591836734694
66,158.0,61.0,20.0,99.0,1.58,24.435186668803073
67,177.0,71.0,10.0,45.0,1.77,22.66270867247598
