,user_id,age,height,weight,duration,heart_rate,body_temp,calorie,female,male
0,14733363,68,190.0,94.0,29.0,105.0,40.8,231.0,0,1
1,14861698,20,166.0,60.0,14.0,94.0,40.3,66.0,1,0
2,11179863,69,179.0,79.0,5.0,88.0,38.7,26.0,0,1
3,16180408,34,179.0,71.0,13.0,100.0,40.5,71.0,1,0
4,17771927,27,154.0,58.0,10.0,81.0,39.8,35.0,1,0
5,15130815,36,151.0,50.0,23.0,96.0,40.7,123.0,1,0
6,19602372,33,158.0,56.0,22.0,95.0,40.5,112.0,1,0
7,11117088,41,175.0,85.0,25.0,100.0,40.7,143.0,0,1
8,12132339,60,186.0,94.0,21.0,97.0,40.4,134.0,0,1
9,17964668,26,146.0,51.0,16.0,90.0,40.2,72.0,1,0
10,13723164,36,177.0,76.0,1.0,74.0,37.8,3.0,1,0
11,13681290,21,157.0,56.0,17.0,100.0,40.0,92.0,1,0
12,15566424,66,171.0,79.0,11.0,90.0,40.0,58.0,0,1
13,12891699,32,157.0,54.0,18.0,93.0,40.4,88.0,1,0
14,13823829,53,182.0,85.0,2.0,82.0,38.1,7.0,0,1
15,17557348,39,156.0,62.0,28.0,104.0,40.8,170.0,1,0
16,12198133,39,182.0,82.0,4.0,82.0,38.6,11.0,0,1
17,15236104,46,169.0,67.0,11.0,89.0,40.2,43.0,0,1
18,11042324,27,171.0,65.0,4.0,85.0,38.6,15.0,1,0
19,16864285,50,188.0,86.0,14.0,94.0,40.2,74.0,0,1
20,11674347,67,189.0,93.0,8.0,77.0,39.2,29.0,0,1
21,19797300,31,148.0,50.0,8.0,84.0,39.5,32.0,1,0
22,14711095,33,157.0,60.0,3.0,80.0,38.7,10.0,1,0
23,14434854,20,165.0,59.0,29.0,100.0,41.0,155.0,1,0
24,14893804,48,182.0,85.0,1.0,80.0,37.7,3.0,0,1
25,17231597,29,176.0,75.0,10.0,83.0,39.7,24.0,0,1
26,10901446,33,173.0,73.0,7.0,78.0,39.3,12.0,0,1
27,15874362,42,190.0,88.0,3.0,83.0,38.9,10.0,0,1
28,15569252,62,159.0,59.0,29.0,106.0,41.2,195.0,1,0
29,15615743,38,171.0,75.0,2.0,81.0,38.2,5.0,0,1
30,13363046,20,183.0,88.0,16.0,97.0,40.5,69.0,0,1
31,17572853,25,160.0,59.0,24.0,102.0,40.3,136.0,1,0
32,17157339,24,165.0,59.0,18.0,91.0,40.2,80.0,1,0
33,18328111,42,165.0,68.0,22.0,93.0,40.8,107.0,1,0
34,19303479,22,182.0,84.0,29.0,114.0,41.0,200.0,0,1
35,10699201,74,158.0,59.0,10.0,93.0,39.6,56.0,1,0
36,15283313,70,154.0,59.0,10.0,88.0,40.0,50.0,1,0
